Age,Gender,Married,Dependents,Education,Employment_Type,Monthly_Income,Monthly_Expenses,Existing_EMI,Savings,Credit_Score,Credit_History,Loan_Type,Loan_Amount,Loan_Tenure,Property_Area,Debt_Ratio,Savings_Ratio,Financial_Score,Loan_Status
28,Male,No,1,Graduate,Private,213061,18434,44348,1153716,389,1,Personal,349957,60,Urban,0.29,5.41,57.8,Approved
35,Male,Yes,4,Not Graduate,Private,137757,82236,18231,23628,463,1,Vehicle,2430953,120,Urban,0.73,0.17,34.55,Rejected
42,Male,Yes,3,Graduate,Business,242165,95165,39565,564740,344,1,Personal,3275376,60,Rural,0.56,2.33,42.95,Approved
39,Female,Yes,0,Graduate,Private,222655,42930,5229,498197,403,1,Vehicle,3903481,180,Urban,0.22,2.24,54.8,Approved
44,Female,Yes,2,Graduate,Private,160021,37087,10708,979429,688,1,Home,2820280,60,Urban,0.3,6.12,70.26,Approved
23,Female,No,2,Graduate,Private,168682,99098,20622,455910,811,1,Education,1298493,180,Urban,0.71,2.7,56.91,Approved
36,Female,No,4,Not Graduate,Business,77493,14065,16696,1044977,393,0,Personal,1382125,120,Rural,0.4,13.48,58.66,Rejected
48,Male,No,3,Not Graduate,Business,165024,6504,7507,1439650,849,1,Vehicle,1035767,180,Semiurban,0.08,8.72,89.23,Approved
31,Female,Yes,2,Graduate,Government,248201,83235,55159,1349974,819,0,Home,3236616,120,Rural,0.56,5.44,70.48,Approved
54,Male,No,3,Graduate,Government,115153,62587,27252,654903,545,0,Home,4859334,60,Urban,0.78,5.69,46.8,Rejected
52,Male,Yes,1,Not Graduate,Private,89483,39581,19876,897384,516,0,Vehicle,3446989,180,Semiurban,0.66,10.03,56.58,Rejected
54,Female,Yes,1,Graduate,Government,108627,6378,19277,1171657,535,0,Personal,695533,60,Urban,0.24,10.79,71.04,Approved
25,Male,No,0,Graduate,Business,195368,68624,14040,1140855,435,1,Home,4067584,240,Urban,0.42,5.84,56.13,Approved
27,Male,No,2,Not Graduate,Self Employed,142427,12100,6449,137113,712,1,Personal,2185880,120,Urban,0.13,0.96,65.36,Approved
